atleta_id;rodada_id;clube_id;posicao_id;status_id;pontos_num;preco_num;variacao_num;media_num;jogos_num;slug;apelido;apelido_abreviado;nome;scout;pontuação
87225;9;293;3;6;1,7;8,26;0,26;2,75;7;pedro-henrique;Pedro Henrique;P. Henrique;Pedro Henrique Ribeiro Gonçalves;A;1
87225;9;293;3;6;1,7;8,26;0,26;2,75;7;pedro-henrique;Pedro Henrique;P. Henrique;Pedro Henrique Ribeiro Gonçalves;DS;7
87225;9;293;3;6;1,7;8,26;0,26;2,75;7;pedro-henrique;Pedro Henrique;P. Henrique;Pedro Henrique Ribeiro Gonçalves;FC;3
87225;9;293;3;6;1,7;8,26;0,26;2,75;7;pedro-henrique;Pedro Henrique;P. Henrique;Pedro Henrique Ribeiro Gonçalves;FS;7
87225;9;293;3;6;1,7;8,26;0,26;2,75;7;pedro-henrique;Pedro Henrique;P. Henrique;Pedro Henrique Ribeiro Gonçalves;PI;48
87225;9;293;3;6;1,7;8,26;0,26;2,75;7;pedro-henrique;Pedro Henrique;P. Henrique;Pedro Henrique Ribeiro Gonçalves;SG;2
73465;9;266;3;7;5,1;10,39;0,85;2,53;8;luccas-claro;Luccas Claro;L. Claro;Luccas Claro dos Santos;DS;4
73465;9;266;3;7;5,1;10,39;0,85;2,53;8;luccas-claro;Luccas Claro;L. Claro;Luccas Claro dos Santos;FC;4
73465;9;266;3;7;5,1;10,39;0,85;2,53;8;luccas-claro;Luccas Claro;L. Claro;Luccas Claro dos Santos;FS;3
73465;9;266;3;7;5,1;10,39;0,85;2,53;8;luccas-claro;Luccas Claro;L. Claro;Luccas Claro dos Santos;PI;26
73465;9;266;3;7;5,1;10,39;0,85;2,53;8;luccas-claro;Luccas Claro;L. Claro;Luccas Claro dos Santos;SG;4
38394;9;293;3;6;0,7;10,13;0,19;3,53;8;thiago-heleno;Thiago Heleno;T. Heleno;Thiago Heleno Henrique Ferreira;DS;6
38394;9;293;3;6;0,7;10,13;0,19;3,53;8;thiago-heleno;Thiago Heleno;T. Heleno;Thiago Heleno Henrique Ferreira;FC;4
38394;9;293;3;6;0,7;10,13;0,19;3,53;8;thiago-heleno;Thiago Heleno;T. Heleno;Thiago Heleno Henrique Ferreira;FS;2
38394;9;293;3;6;0,7;10,13;0,19;3,53;8;thiago-heleno;Thiago Heleno;T. Heleno;Thiago Heleno Henrique Ferreira;PI;34
38394;9;293;3;6;0,7;10,13;0,19;3,53;8;thiago-heleno;Thiago Heleno;T. Heleno;Thiago Heleno Henrique Ferreira;SG;3
78851;9;354;1;7;8;6,9;0,73;4,4;5;richard;Richard;Richard;Richard de Oliveira da Costa;SG;3
86264;9;373;2;7;0;13,3;0;6,39;7;natanael;Natanael;Natanael;Natanael Batista Pimenta;A;2
86264;9;373;2;7;0;13,3;0;6,39;7;natanael;Natanael;Natanael;Natanael Batista Pimenta;DS;11
86264;9;373;2;7;0;13,3;0;6,39;7;natanael;Natanael;Natanael;Natanael Batista Pimenta;FC;8
86264;9;373;2;7;0;13,3;0;6,39;7;natanael;Natanael;Natanael;Natanael Batista Pimenta;FS;9
86264;9;373;2;7;0;13,3;0;6,39;7;natanael;Natanael;Natanael;Natanael Batista Pimenta;PI;58
86264;9;373;2;7;0;13,3;0;6,39;7;natanael;Natanael;Natanael;Natanael Batista Pimenta;SG;4
71571;9;373;1;7;9;18,64;1,45;6;8;fernando-miguel;Fernando Miguel;F. Miguel;Fernando Miguel Kaufmann;DS;1
71571;9;373;1;7;9;18,64;1,45;6;8;fernando-miguel;Fernando Miguel;F. Miguel;Fernando Miguel Kaufmann;SG;5
93790;9;373;4;7;2,6;4,81;-1,2;2,35;8;marlon-freitas;Marlon Freitas;M. Freitas;Marlon Rodrigues Freitas;DS;18
93790;9;373;4;7;2,6;4,81;-1,2;2,35;8;marlon-freitas;Marlon Freitas;M. Freitas;Marlon Rodrigues Freitas;FC;8
93790;9;373;4;7;2,6;4,81;-1,2;2,35;8;marlon-freitas;Marlon Freitas;M. Freitas;Marlon Rodrigues Freitas;FS;2
93790;9;373;4;7;2,6;4,81;-1,2;2,35;8;marlon-freitas;Marlon Freitas;M. Freitas;Marlon Rodrigues Freitas;PI;45
92696;9;293;5;6;0;6,17;0;0,53;6;renato-kayzer;Renato Kayzer;R. Kayzer;Renato Kayzer de Souza;DS;2
92696;9;293;5;6;0;6,17;0;0,53;6;renato-kayzer;Renato Kayzer;R. Kayzer;Renato Kayzer de Souza;FC;6
92696;9;293;5;6;0;6,17;0;0,53;6;renato-kayzer;Renato Kayzer;R. Kayzer;Renato Kayzer de Souza;FS;6
92696;9;293;5;6;0;6,17;0;0,53;6;renato-kayzer;Renato Kayzer;R. Kayzer;Renato Kayzer de Souza;PI;7
89493;9;282;3;7;5,9;5,14;1,09;2,72;5;igor-rabello;Igor Rabello;I. Rabello;Igor Rabello da Costa;DS;4
89493;9;282;3;7;5,9;5,14;1,09;2,72;5;igor-rabello;Igor Rabello;I. Rabello;Igor Rabello da Costa;FC;6
89493;9;282;3;7;5,9;5,14;1,09;2,72;5;igor-rabello;Igor Rabello;I. Rabello;Igor Rabello da Costa;FS;7
89493;9;282;3;7;5,9;5,14;1,09;2,72;5;igor-rabello;Igor Rabello;I. Rabello;Igor Rabello da Costa;PI;27
89493;9;282;3;7;5,9;5,14;1,09;2,72;5;igor-rabello;Igor Rabello;I. Rabello;Igor Rabello da Costa;SG;3
