"Atleta_id","Apelido","Rodada","Clube","Posicao","Status","Pontos","Preco","Variacao","Media","Nr jogos","A","CA","CV","DE","DP","DS","FC","FD","FF","FS","FT","G","GC","GS","I","PC","PI","PP","PS","SG"
"37245","Guto Ferreira","13","354","6","7","3.18","9.04","-0.15","3.43","13","","","","","","","","","","","","","","","","","","","",""
"37674","Wagner","13","286","4","6","0","3.74","0","-0.2","1","","","","","","","","","","","","","","","","","2","","",""
"37788","Marcelo Boeck","13","356","1","7","9.5","5","0.61","7.83","3","","","","8","","","","","","1","","","","","","","","","","3"
"38133","Júlio César","13","280","1","6","0","2","0","-2","1","","","","1","","","","","","","","","","3","","","","","",""
"38138","Jô","13","264","5","7","5.1","8.34","0.25","4.87","10","1","","","","","4","16","3","9","13","2","4","","","5","1","41","","",""
"38141","Miranda","13","276","3","7","6.3","10.02","0.66","4.15","6","","","","","","15","5","1","","7","","","","","1","","18","","","2"
"38144","Rafinha","13","284","2","3","-2.4","8.68","-2.29","1.56","9","","3","","","","17","18","1","","16","","","","","","","72","","","2"
"38162","Fred","13","266","5","6","-3.2","5.81","-0.96","0.87","8","","2","","","","2","13","5","6","9","","1","","","9","","34","","",""
"38196","Maicon","13","284","4","6","0","4.31","0","-2.5","1","","1","","","","","","","","","","","","","","","5","","",""
"38229","Fábio Santos","13","264","2","7","0.2","10.22","0.04","3.07","11","","","","","","8","11","1","3","16","","1","","","","","83","","","4"
"38277","Thiago Neves","13","292","4","2","0","10.02","0","2.52","8","","","","","","6","5","4","5","9","","1","","","1","","41","","",""
"38279","Wellington Paulista","13","356","5","5","0","6.89","0","2.73","6","","1","","","","2","3","1","2","3","","2","","","2","","14","","",""
"38315","Jadson","13","293","4","6","0","6.01","0","2.38","6","","","","","","","","","","1","","2","","","","","22","","",""
"38394","Thiago Heleno","13","293","3","7","1.7","9.96","-0.31","3.34","10","","","","","","9","4","2","4","4","","1","","","","","43","","","3"
"38398","Renato Augusto","13","264","4","6","0","12","0","0","","","","","","","","","","","","","","","","","","","","",""
"38509","Diego Alves","13","262","1","7","4","13.95","-0.52","4","10","","","","34","","","","","","2","","","","10","","","","","","3"
"38545","Felipe Melo","13","275","4","7","3.3","5.83","0.58","1.56","12","","2","","","","29","17","1","2","6","","","","","1","","30","","",""
"38588","Elton","13","1371","5","7","3.3","10.18","-0.63","4.23","10","","","","","","2","8","5","7","9","","4","","","1","","33","","",""
"38632","Matheus Ferraz","13","266","3","6","0","5","0","0","","","","","","","","","","","","","","","","","","","","",""
